"","names","price","ram","display","processor"
"1","DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop","₹43,990","16 GB DDR4 RAM","39.62 cm (15.6 Inch) Display","AMD Ryzen 5 Hexa Core Processor"
"2","HP OmniBook Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) 14-fe1011QU Thin and Light Laptop","₹1,13,990","16 GB LPDDR5X RAM","35.56 cm (14 inch) Touchscreen Display","Snapdragon X Plus Processor"
"3","Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...","₹15,990","8 GB DDR4 RAM","29.46 cm (11.6 inch) Display","Intel Celeron Dual Core Processor"
"4","Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...","₹15,990","8 GB DDR4 RAM","29.46 cm (11.6 inch) Display","Intel Celeron Dual Core Processor"
"5","Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...","₹22,990","8 GB LPDDR4X RAM","35.56 cm (14 Inch) Display","Intel Celeron Dual Core Processor"
"6","CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop","₹18,990","8 GB LPDDR5 RAM","35.81 cm (14.1 inch) Display","Intel Celeron Quad Core Processor (12th Gen)"
"7","HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3 - 1315U (13th Gen) - (8 GB/512 GB SSD/Windows 1...","₹32,990","8 GB DDR4 RAM","39.62 cm (15.6 inch) Display","Intel Core i3 Processor (13th Gen)"
"8","ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321...","₹34,990","8 GB LPDDR5 RAM","39.62 cm (15.6 Inch) Display","AMD Ryzen 3 Quad Core Processor"
"9","Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...","₹17,990","8 GB DDR4 RAM","29.46 cm (11.6 inch) Display","Intel Celeron Dual Core Processor"
"10","ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...","₹34,990","8 GB LPDDR5 RAM","39.62 cm (15.6 Inch) Display","AMD Ryzen 3 Quad Core Processor"
"11","DELL 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop","₹45,990","16 GB DDR4 RAM","39.62 cm (15.6 Inch) Display","Intel Core i5 Processor (12th Gen)"
"12","DELL Inspiron Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Lap...","₹64,382","8 GB DDR4 RAM","39.62 cm (15.6 Inch) Display","Intel Core i5 Processor (13th Gen)"
"13","HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...","₹29,990","8 GB DDR4 RAM","39.62 cm (15.6 inch) Display","AMD Ryzen 3 Quad Core Processor"
"14","Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...","₹9,499","4 GB LPDDR4X RAM","1 Year Carry-in Warranty","MediaTek Kompanio 520 Processor"
"15","Lenovo Slim 5 Co-Pilot Next Gen AI PC Full Metal Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) ...","₹59,990","16 GB LPDDR5X RAM","35.56 cm (14 Inch) Display","Snapdragon X Plus Processor"
"16","ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...","₹40,990","8 GB DDR4 RAM","39.62 cm (15.6 Inch) Display","Intel Core i5 Processor (12th Gen)"
"17","DELL G15 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...","₹77,490","16 GB DDR5 RAM","39.62 cm (15.6 Inch) Display","Intel Core i5 Processor (13th Gen)"
"18","DELL 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 3520 Thin and Light Laptop","₹49,990","8 GB DDR4 RAM","39.62 cm (15.6 Inch) Display","Intel Core i5 Processor (12th Gen)"
"19","HP G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print - (16 GB/512 GB SSD/Windows 11 Pro) 2...","₹34,790","16 GB DDR4 RAM","39.62 cm (15.6 inch) Display","Intel Core i3 Processor (13th Gen)"
"20","ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹44,990","16 GB DDR4 RAM","39.62 cm (15.6 Inch) Display","Intel Core i5 Processor (12th Gen)"
"21","DELL 15 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop","₹52,490","8 GB DDR4 RAM","39.62 cm (15.6 Inch) Display","Intel Core i5 Processor (13th Gen)"
"22","DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530 Thin and Light Lapto...","₹34,990","8 GB DDR4 RAM","39.62 cm (15.6 Inch) Display","Intel Core i3 Processor (13th Gen)"
"23","Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...","₹69,190","16 GB DDR5 RAM","39.62 cm (15.6 Inch) Display","Intel Core i5 Processor (12th Gen)"
"24","Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...","₹44,990","16 GB LPDDR5 RAM","39.62 cm (15.6 inch) Display","Intel Core i5 Processor (12th Gen)"
